S No,CV Code,Firm,Locations,March Sale Till Now,New Birds,Chicken 65,Up Country sale,Local Sale,Estimation This Week
1,2000018784,BAPU FOODS,Rampally X Road,58952,6,1,0,58952,0
2,2000021669,VANKERI FOODS AND BEVERAGES,Zaheerabad,0,0,0,0,0,30000
3,2000023718,V B BUSINESS VENTURES,Nizampet,0,0,0,0,0,0
4,2000018528,SAI RAM FOODS,VV Colony,21576,0,0,0,21576,10000
5,2000024593,MR ENTERPRISES,Bachupally,26577,0,4,0,26577,15000
6,2000024936,MR ENTERPRISES,Miyapur,17511,0,0,0,17511,10000
7,2000018174,ROCK ICE CREAM PARLOUR,Gadwal,0,0,0,0,0,0
8,2000018791,SRI VENKATESHWARA SNACKS,Wanaparthy,0,0,0,0,0,0
9,2000018861,JOGULAMBA TRADERS,Mahabubnagar,36356,0,4,36356,0,0
10,2000021205,MAHAA FOODS AND BEVERAGES,Alwyn Colony,11118,0,2,0,11118,8000
11,2000024430,KK FOODS & BEVERAGES,Pragathi Nagar,0,0,0,0,0,0
12,2000024169,KESAVA FOODS,Sathupalli,43261,3,4,43261,0,0
13,2000023292,M & N FOOD GARAGE,Khamam,56604,0,16,56604,0,0
14,2000025254,VENKATESHWARA ENTERPRISES,Kothagudem,0,0,0,0,0,0
15,2000025925,JIVANSHI ENTERPRISES,SECUNDERABAD,43517,6,4,0,43517,20000
16,2000025921,ZAYIN (7),Jagadgiri Gutta ,32758,0,0,0,32758,5000
17,2000023000,AUSBITOS,Jedcharla,40684,0,0,40684,0,0
18,2000019379,HUMA RESTAURANT,Kalvakurthy,31958,0,2,31958,0,0
19,2000023715,HOT GEAR,Kothakota,31092,0,0,31092,0,0
20,2000026092,Shavin Food Court,Pragathi Nagar,36876,0,0,0,36876,15000
21,2000026035,Fried Chicken Bites,RTC X Road,3164,0,0,0,3164,0
22,2000026082,Sri Siddheshwar,Ieeja,56636,3,8,56636,0,0
23,2000026367,HYDERABAD FUSION,Kisanbagh,181806,30,32,0,181806,20000
,,,Grand Total,730446,48,77,296591,433855,133000
